step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;46,5;47,3;47,3;47,3;6,79e-05;6,79e-05;6,79e-05;7,87e-06;7,87e-06;7,87e-06
2;46,5;47,2;47,2;47,2;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
3;46,5;47,2;47,2;47,2;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
4;46,5;47,2;47,2;47,2;1,53e-05;1,53e-05;1,53e-05;1,91e-06;1,91e-06;1,91e-06
5;46,5;47,2;47,2;47,2;1,22e-05;1,22e-05;1,22e-05;1,91e-06;1,91e-06;1,91e-06
6;46,5;47,2;47,2;47,2;7,15e-06;7,15e-06;7,15e-06;1,91e-06;1,91e-06;1,91e-06
7;46,5;47,2;47,2;47,2;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
8;46,8;47,5;47,5;47,5;1,5e-05;1,5e-05;1,5e-05;1,91e-06;1,91e-06;1,91e-06
9;46,5;47,2;47,2;47,2;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
10;46,6;47,3;47,3;47,3;1,19e-05;1,19e-05;1,19e-05;3,1e-06;3,1e-06;3,1e-06
