step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,135;0,14;0,14;0,14;9,3e-05;9,3e-05;9,3e-05;6,91e-06;6,91e-06;6,91e-06
2;0,134;0,14;0,14;0,14;2,86e-06;2,86e-06;2,86e-06;1,19e-06;1,19e-06;1,19e-06
3;0,135;0,141;0,141;0,141;1,19e-06;1,19e-06;1,19e-06;9,54e-07;9,54e-07;9,54e-07
4;0,138;0,143;0,143;0,143;9,54e-07;9,54e-07;9,54e-07;1,19e-06;1,19e-06;1,19e-06
5;0,135;0,141;0,141;0,141;3,1e-06;3,1e-06;3,1e-06;1,91e-06;1,91e-06;1,91e-06
6;0,136;0,141;0,141;0,141;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07
7;0,134;0,139;0,139;0,139;3,1e-06;3,1e-06;3,1e-06;1,91e-06;1,91e-06;1,91e-06
8;0,134;0,139;0,139;0,139;1,91e-06;1,91e-06;1,91e-06;2,15e-06;2,15e-06;2,15e-06
9;0,134;0,139;0,139;0,139;2,86e-06;2,86e-06;2,86e-06;9,54e-07;9,54e-07;9,54e-07
10;0,134;0,14;0,14;0,14;9,54e-07;9,54e-07;9,54e-07;1,91e-06;1,91e-06;1,91e-06
